Entity,Code,Date,Case fatality rate of COVID-19 (%) (Only observations with ≥100 cases) (%)
Afghanistan,AFG,"Mar 29, 2020",2.83
Afghanistan,AFG,"Mar 30, 2020",3.509
Afghanistan,AFG,"Mar 31, 2020",2.837
Afghanistan,AFG,"Apr 1, 2020",2.41
Afghanistan,AFG,"Apr 2, 2020",2.083
Afghanistan,AFG,"Apr 3, 2020",1.702
Afghanistan,AFG,"Apr 4, 2020",1.702
Afghanistan,AFG,"Apr 5, 2020",1.852
Afghanistan,AFG,"Apr 6, 2020",2.341
Afghanistan,AFG,"Apr 7, 2020",2.077
Afghanistan,AFG,"Apr 8, 2020",2.997
Afghanistan,AFG,"Apr 9, 2020",3.31
Afghanistan,AFG,"Apr 10, 2020",3.099
Afghanistan,AFG,"Apr 11, 2020",2.879
Afghanistan,AFG,"Apr 12, 2020",3.243
Afghanistan,AFG,"Apr 13, 2020",2.965
Afghanistan,AFG,"Apr 14, 2020",3.158
Afghanistan,AFG,"Apr 15, 2020",3.221
Afghanistan,AFG,"Apr 16, 2020",3.189
Afghanistan,AFG,"Apr 17, 2020",3.652
Afghanistan,AFG,"Apr 18, 2020",3.55
Afghanistan,AFG,"Apr 19, 2020",3.304
Afghanistan,AFG,"Apr 20, 2020",3.313
Afghanistan,AFG,"Apr 21, 2020",3.395
Afghanistan,AFG,"Apr 22, 2020",3.297
Afghanistan,AFG,"Apr 23, 2020",3.401
Afghanistan,AFG,"Apr 24, 2020",3.279
Afghanistan,AFG,"Apr 25, 2020",3.183
Afghanistan,AFG,"Apr 26, 2020",3.213
Afghanistan,AFG,"Apr 27, 2020",3.723
Afghanistan,AFG,"Apr 28, 2020",3.347
Afghanistan,AFG,"Apr 29, 2020",3.284
Afghanistan,AFG,"Apr 30, 2020",3.079
Afghanistan,AFG,"May 1, 2020",2.948
Afghanistan,AFG,"May 2, 2020",2.912
Afghanistan,AFG,"May 3, 2020",2.916
Afghanistan,AFG,"May 4, 2020",3.143
Afghanistan,AFG,"May 5, 2020",3.11
Afghanistan,AFG,"May 6, 2020",2.947
Afghanistan,AFG,"May 7, 2020",3.066
Afghanistan,AFG,"May 8, 2020",2.975
Afghanistan,AFG,"May 9, 2020",2.885
Afghanistan,AFG,"May 10, 2020",2.851
Afghanistan,AFG,"May 11, 2020",2.726
Afghanistan,AFG,"May 12, 2020",2.603
Afghanistan,AFG,"May 13, 2020",2.557
Afghanistan,AFG,"May 14, 2020",2.488
Afghanistan,AFG,"May 15, 2020",2.547
Afghanistan,AFG,"May 16, 2020",2.624
Afghanistan,AFG,"May 17, 2020",2.624
Africa,,"Mar 11, 2020",0.952
Africa,,"Mar 12, 2020",1.695
Africa,,"Mar 13, 2020",2.516
Africa,,"Mar 14, 2020",2.475
Africa,,"Mar 15, 2020",2.51
Africa,,"Mar 16, 2020",2.469
Africa,,"Mar 17, 2020",1.99
Africa,,"Mar 18, 2020",2.429
Africa,,"Mar 19, 2020",2.528
Africa,,"Mar 20, 2020",2.285
Africa,,"Mar 21, 2020",2.462
Africa,,"Mar 22, 2020",2.976
Africa,,"Mar 23, 2020",3.168
Africa,,"Mar 24, 2020",2.992
Africa,,"Mar 25, 2020",2.905
Africa,,"Mar 26, 2020",2.677
Africa,,"Mar 27, 2020",2.563
Africa,,"Mar 28, 2020",2.708
Africa,,"Mar 29, 2020",3.007
Africa,,"Mar 30, 2020",3.089
Africa,,"Mar 31, 2020",3.231
Africa,,"Apr 1, 2020",3.359
Africa,,"Apr 2, 2020",3.585
Africa,,"Apr 3, 2020",3.719
Africa,,"Apr 4, 2020",4.062
Africa,,"Apr 5, 2020",4.491
Africa,,"Apr 6, 2020",4.73
Africa,,"Apr 7, 2020",4.866
Africa,,"Apr 8, 2020",4.96
Africa,,"Apr 9, 2020",5.006
Africa,,"Apr 10, 2020",5.13
Africa,,"Apr 11, 2020",5.335
Africa,,"Apr 12, 2020",5.437
Africa,,"Apr 13, 2020",5.433
Africa,,"Apr 14, 2020",5.461
Africa,,"Apr 15, 2020",5.381
Africa,,"Apr 16, 2020",5.283
Africa,,"Apr 17, 2020",5.265
Africa,,"Apr 18, 2020",5.106
Africa,,"Apr 19, 2020",5.02
Africa,,"Apr 20, 2020",5.022
Africa,,"Apr 21, 2020",4.964
Africa,,"Apr 22, 2020",4.83
Africa,,"Apr 23, 2020",4.796
Africa,,"Apr 24, 2020",4.724
Africa,,"Apr 25, 2020",4.588
Africa,,"Apr 26, 2020",4.545
Africa,,"Apr 27, 2020",4.457
Africa,,"Apr 28, 2020",4.433
Africa,,"Apr 29, 2020",4.363
Africa,,"Apr 30, 2020",4.331
Africa,,"May 1, 2020",4.208
Africa,,"May 2, 2020",4.147
Africa,,"May 3, 2020",4.114
Africa,,"May 4, 2020",4.049
Africa,,"May 5, 2020",3.915
Africa,,"May 6, 2020",3.89
Africa,,"May 7, 2020",3.891
Africa,,"May 8, 2020",3.841
Africa,,"May 9, 2020",3.726
Africa,,"May 10, 2020",3.666
Africa,,"May 11, 2020",3.613
Africa,,"May 12, 2020",3.529
Africa,,"May 13, 2020",3.457
Africa,,"May 14, 2020",3.433
Africa,,"May 15, 2020",3.387
Africa,,"May 16, 2020",3.358
Africa,,"May 17, 2020",3.314
Albania,ALB,"Mar 24, 2020",4
Albania,ALB,"Mar 25, 2020",4.065
Albania,ALB,"Mar 26, 2020",3.425
Albania,ALB,"Mar 27, 2020",3.448
Albania,ALB,"Mar 28, 2020",4.839
Albania,ALB,"Mar 29, 2020",5.076
Albania,ALB,"Mar 30, 2020",4.717
Albania,ALB,"Mar 31, 2020",5.381
Albania,ALB,"Apr 1, 2020",6.173
Albania,ALB,"Apr 2, 2020",5.792
Albania,ALB,"Apr 3, 2020",5.776
Albania,ALB,"Apr 4, 2020",5.592
Albania,ALB,"Apr 5, 2020",5.706
Albania,ALB,"Apr 6, 2020",5.817
Albania,ALB,"Apr 7, 2020",5.836
Albania,ALB,"Apr 8, 2020",5.744
Albania,ALB,"Apr 9, 2020",5.5
Albania,ALB,"Apr 10, 2020",5.623
Albania,ALB,"Apr 11, 2020",5.529
Albania,ALB,"Apr 12, 2020",5.312
Albania,ALB,"Apr 13, 2020",5.157
Albania,ALB,"Apr 14, 2020",4.925
Albania,ALB,"Apr 15, 2020",5.053
Albania,ALB,"Apr 16, 2020",5.061
Albania,ALB,"Apr 17, 2020",5.019
Albania,ALB,"Apr 18, 2020",4.824
Albania,ALB,"Apr 19, 2020",4.745
Albania,ALB,"Apr 20, 2020",4.626
Albania,ALB,"Apr 21, 2020",4.452
Albania,ALB,"Apr 22, 2020",4.269
Albania,ALB,"Apr 23, 2020",4.259
Albania,ALB,"Apr 24, 2020",4.072
Albania,ALB,"Apr 25, 2020",3.982
Albania,ALB,"Apr 26, 2020",3.792
Albania,ALB,"Apr 27, 2020",3.857
Albania,ALB,"Apr 28, 2020",3.804
Albania,ALB,"Apr 29, 2020",4
Albania,ALB,"Apr 30, 2020",4.047
Albania,ALB,"May 1, 2020",4.01
Albania,ALB,"May 2, 2020",3.964
Albania,ALB,"May 3, 2020",3.929
Albania,ALB,"May 4, 2020",3.899
Albania,ALB,"May 5, 2020",3.861
Albania,ALB,"May 6, 2020",3.78
Albania,ALB,"May 7, 2020",3.726
Albania,ALB,"May 8, 2020",3.682
Albania,ALB,"May 9, 2020",3.647
Albania,ALB,"May 10, 2020",3.621
Albania,ALB,"May 11, 2020",3.571
Albania,ALB,"May 12, 2020",3.555
Albania,ALB,"May 13, 2020",3.539
Albania,ALB,"May 14, 2020",3.523
Albania,ALB,"May 15, 2020",3.452
Albania,ALB,"May 16, 2020",3.384
Albania,ALB,"May 17, 2020",3.323
Algeria,DZA,"Mar 21, 2020",9.804
Algeria,DZA,"Mar 22, 2020",10.791
Algeria,DZA,"Mar 23, 2020",8.458
Algeria,DZA,"Mar 24, 2020",7.391
Algeria,DZA,"Mar 25, 2020",7.197
Algeria,DZA,"Mar 26, 2020",6.954
Algeria,DZA,"Mar 27, 2020",6.812
Algeria,DZA,"Mar 28, 2020",6.357
Algeria,DZA,"Mar 29, 2020",6.388
Algeria,DZA,"Mar 30, 2020",6.067
Algeria,DZA,"Mar 31, 2020",5.993
Algeria,DZA,"Apr 1, 2020",6.145
Algeria,DZA,"Apr 2, 2020",6.848
Algeria,DZA,"Apr 3, 2020",6.389
Algeria,DZA,"Apr 4, 2020",8.967
Algeria,DZA,"Apr 5, 2020",10.392
Algeria,DZA,"Apr 6, 2020",11.515
Algeria,DZA,"Apr 7, 2020",12.157
Algeria,DZA,"Apr 8, 2020",13.147
Algeria,DZA,"Apr 9, 2020",13.041
Algeria,DZA,"Apr 10, 2020",14.106
Algeria,DZA,"Apr 11, 2020",14.537
Algeria,DZA,"Apr 12, 2020",15.068
Algeria,DZA,"Apr 13, 2020",15.308
Algeria,DZA,"Apr 14, 2020",15.784
Algeria,DZA,"Apr 15, 2020",15.7
Algeria,DZA,"Apr 16, 2020",15.556
Algeria,DZA,"Apr 17, 2020",15.344
Algeria,DZA,"Apr 18, 2020",15.054
Algeria,DZA,"Apr 19, 2020",14.477
Algeria,DZA,"Apr 20, 2020",14.264
Algeria,DZA,"Apr 21, 2020",14.128
Algeria,DZA,"Apr 22, 2020",13.945
Algeria,DZA,"Apr 23, 2020",13.814
Algeria,DZA,"Apr 24, 2020",13.535
Algeria,DZA,"Apr 25, 2020",13.272
Algeria,DZA,"Apr 26, 2020",12.869
Algeria,DZA,"Apr 27, 2020",12.567
Algeria,DZA,"Apr 28, 2020",12.283
Algeria,DZA,"Apr 29, 2020",11.976
Algeria,DZA,"Apr 30, 2020",11.538
Algeria,DZA,"May 1, 2020",11.233
Algeria,DZA,"May 2, 2020",10.905
Algeria,DZA,"May 3, 2020",10.687
Algeria,DZA,"May 4, 2020",10.349
Algeria,DZA,"May 5, 2020",10.004
Algeria,DZA,"May 6, 2020",9.715
Algeria,DZA,"May 7, 2020",9.526
Algeria,DZA,"May 8, 2020",9.321
Algeria,DZA,"May 9, 2020",9.089
Algeria,DZA,"May 10, 2020",8.888
Algeria,DZA,"May 11, 2020",8.772
Algeria,DZA,"May 12, 2020",8.606
Algeria,DZA,"May 13, 2020",8.489
Algeria,DZA,"May 14, 2020",8.348
Algeria,DZA,"May 15, 2020",8.212
Algeria,DZA,"May 16, 2020",8.086
Algeria,DZA,"May 17, 2020",7.946
Andorra,AND,"Mar 23, 2020",0
Andorra,AND,"Mar 24, 2020",0
Andorra,AND,"Mar 25, 2020",0
Andorra,AND,"Mar 26, 2020",0
Andorra,AND,"Mar 27, 2020",1.339
Andorra,AND,"Mar 28, 2020",1.124
Andorra,AND,"Mar 29, 2020",1.299
Andorra,AND,"Mar 30, 2020",1.796
Andorra,AND,"Mar 31, 2020",2.162
Andorra,AND,"Apr 1, 2020",3.191
Andorra,AND,"Apr 2, 2020",3.59
Andorra,AND,"Apr 3, 2020",3.505
Andorra,AND,"Apr 4, 2020",3.645
Andorra,AND,"Apr 5, 2020",3.648
Andorra,AND,"Apr 6, 2020",3.593
Andorra,AND,"Apr 7, 2020",3.992
Andorra,AND,"Apr 8, 2020",4.037
Andorra,AND,"Apr 9, 2020",4.078
Andorra,AND,"Apr 10, 2020",4.288
Andorra,AND,"Apr 11, 2020",4.326
Andorra,AND,"Apr 12, 2020",4.502
Andorra,AND,"Apr 13, 2020",4.545
Andorra,AND,"Apr 14, 2020",4.489
Andorra,AND,"Apr 15, 2020",4.704
Andorra,AND,"Apr 16, 2020",4.903
Andorra,AND,"Apr 17, 2020",4.839
Andorra,AND,"Apr 18, 2020",5.029
Andorra,AND,"Apr 19, 2020",4.972
Andorra,AND,"Apr 20, 2020",5.049
Andorra,AND,"Apr 21, 2020",5.021
Andorra,AND,"Apr 22, 2020",5.16
Andorra,AND,"Apr 23, 2020",5.118
Andorra,AND,"Apr 24, 2020",5.11
Andorra,AND,"Apr 25, 2020",5.472
Andorra,AND,"Apr 26, 2020",5.457
Andorra,AND,"Apr 27, 2020",5.405
Andorra,AND,"Apr 28, 2020",5.384
Andorra,AND,"Apr 29, 2020",5.518
Andorra,AND,"Apr 30, 2020",5.653
Andorra,AND,"May 1, 2020",5.638
Andorra,AND,"May 2, 2020",5.764
Andorra,AND,"May 3, 2020",5.89
Andorra,AND,"May 4, 2020",6.016
Andorra,AND,"May 5, 2020",6
Andorra,AND,"May 6, 2020",6.125
Andorra,AND,"May 7, 2020",6.125
Andorra,AND,"May 8, 2020",6.25
Andorra,AND,"May 9, 2020",6.25
Andorra,AND,"May 10, 2020",6.366
Andorra,AND,"May 11, 2020",6.358
Andorra,AND,"May 12, 2020",6.349
Andorra,AND,"May 13, 2020",6.332
Andorra,AND,"May 14, 2020",6.447
Andorra,AND,"May 15, 2020",6.439
Andorra,AND,"May 16, 2020",6.439
Andorra,AND,"May 17, 2020",6.702
Argentina,ARG,"Mar 20, 2020",2.344
Argentina,ARG,"Mar 21, 2020",1.899
Argentina,ARG,"Mar 22, 2020",1.778
Argentina,ARG,"Mar 23, 2020",1.504
Argentina,ARG,"Mar 24, 2020",1.329
Argentina,ARG,"Mar 25, 2020",1.55
Argentina,ARG,"Mar 26, 2020",1.594
Argentina,ARG,"Mar 27, 2020",2.037
Argentina,ARG,"Mar 28, 2020",2.464
Argentina,ARG,"Mar 29, 2020",2.55
Argentina,ARG,"Mar 30, 2020",2.439
Argentina,ARG,"Mar 31, 2020",2.484
Argentina,ARG,"Apr 1, 2020",2.484
Argentina,ARG,"Apr 2, 2020",2.736
Argentina,ARG,"Apr 3, 2020",3.001
Argentina,ARG,"Apr 4, 2020",2.925
Argentina,ARG,"Apr 5, 2020",2.963
Argentina,ARG,"Apr 6, 2020",2.96
Argentina,ARG,"Apr 7, 2020",3.256
Argentina,ARG,"Apr 8, 2020",3.499
Argentina,ARG,"Apr 9, 2020",3.621
Argentina,ARG,"Apr 10, 2020",4.171
Argentina,ARG,"Apr 11, 2020",4.152
Argentina,ARG,"Apr 12, 2020",4.165
Argentina,ARG,"Apr 13, 2020",4.312
Argentina,ARG,"Apr 14, 2020",4.313
Argentina,ARG,"Apr 15, 2020",4.317
Argentina,ARG,"Apr 16, 2020",4.482
Argentina,ARG,"Apr 17, 2020",4.492
Argentina,ARG,"Apr 18, 2020",4.59
Argentina,ARG,"Apr 19, 2020",4.668
Argentina,ARG,"Apr 20, 2020",4.573
Argentina,ARG,"Apr 21, 2020",4.702
Argentina,ARG,"Apr 22, 2020",4.821
Argentina,ARG,"Apr 23, 2020",4.853
Argentina,ARG,"Apr 24, 2020",4.82
Argentina,ARG,"Apr 25, 2020",4.879
Argentina,ARG,"Apr 26, 2020",4.911
Argentina,ARG,"Apr 27, 2020",4.938
Argentina,ARG,"Apr 28, 2020",4.937
Argentina,ARG,"Apr 29, 2020",5.032
Argentina,ARG,"Apr 30, 2020",5.009
Argentina,ARG,"May 1, 2020",4.938
Argentina,ARG,"May 2, 2020",4.979
Argentina,ARG,"May 3, 2020",5.077
Argentina,ARG,"May 4, 2020",5.157
Argentina,ARG,"May 5, 2020",5.334
Argentina,ARG,"May 6, 2020",5.273
Argentina,ARG,"May 7, 2020",5.255
Argentina,ARG,"May 8, 2020",5.263
Argentina,ARG,"May 9, 2020",5.234
Argentina,ARG,"May 10, 2020",5.206
Argentina,ARG,"May 11, 2020",5.194
Argentina,ARG,"May 12, 2020",5.066
Argentina,ARG,"May 13, 2020",4.87
Argentina,ARG,"May 14, 2020",4.792
Argentina,ARG,"May 15, 2020",4.957
Argentina,ARG,"May 16, 2020",4.768
Argentina,ARG,"May 17, 2020",4.659
Armenia,ARM,"Mar 19, 2020",0
Armenia,ARM,"Mar 20, 2020",0
Armenia,ARM,"Mar 21, 2020",0
Armenia,ARM,"Mar 22, 2020",0
Armenia,ARM,"Mar 23, 2020",0
Armenia,ARM,"Mar 24, 2020",0
Armenia,ARM,"Mar 25, 2020",0
Armenia,ARM,"Mar 26, 2020",0
Armenia,ARM,"Mar 27, 2020",0.304
Armenia,ARM,"Mar 28, 2020",0.269
Armenia,ARM,"Mar 29, 2020",0.708
Armenia,ARM,"Mar 30, 2020",0.708
Armenia,ARM,"Mar 31, 2020",0.622
Armenia,ARM,"Apr 1, 2020",0.564
Armenia,ARM,"Apr 2, 2020",0.525
Armenia,ARM,"Apr 3, 2020",0.603
Armenia,ARM,"Apr 4, 2020",0.951
Armenia,ARM,"Apr 5, 2020",0.909
Armenia,ARM,"Apr 6, 2020",0.852
Armenia,ARM,"Apr 7, 2020",0.96
Armenia,ARM,"Apr 8, 2020",0.938
Armenia,ARM,"Apr 9, 2020",1.022
Armenia,ARM,"Apr 10, 2020",1.086
Armenia,ARM,"Apr 11, 2020",1.174
Armenia,ARM,"Apr 12, 2020",1.344
Armenia,ARM,"Apr 13, 2020",1.283
Armenia,ARM,"Apr 14, 2020",1.347
Armenia,ARM,"Apr 15, 2020",1.53
Armenia,ARM,"Apr 16, 2020",1.553
Armenia,ARM,"Apr 17, 2020",1.582
Armenia,ARM,"Apr 18, 2020",1.603
Armenia,ARM,"Apr 19, 2020",1.549
Armenia,ARM,"Apr 20, 2020",1.643
Armenia,ARM,"Apr 21, 2020",1.713
Armenia,ARM,"Apr 22, 2020",1.629
Armenia,ARM,"Apr 23, 2020",1.576
Armenia,ARM,"Apr 24, 2020",1.692
Armenia,ARM,"Apr 25, 2020",1.67
Armenia,ARM,"Apr 26, 2020",1.604
Armenia,ARM,"Apr 27, 2020",1.604
Armenia,ARM,"Apr 28, 2020",1.607
Armenia,ARM,"Apr 29, 2020",1.553
Armenia,ARM,"Apr 30, 2020",1.553
Armenia,ARM,"May 1, 2020",1.549
Armenia,ARM,"May 2, 2020",1.536
Armenia,ARM,"May 3, 2020",1.452
Armenia,ARM,"May 4, 2020",1.467
Armenia,ARM,"May 5, 2020",1.556
Armenia,ARM,"May 6, 2020",1.527
Armenia,ARM,"May 7, 2020",1.438
Armenia,ARM,"May 8, 2020",1.456
Armenia,ARM,"May 9, 2020",1.42
Armenia,ARM,"May 10, 2020",1.386
Armenia,ARM,"May 11, 2020",1.358
Armenia,ARM,"May 12, 2020",1.356
Armenia,ARM,"May 13, 2020",1.328
Armenia,ARM,"May 14, 2020",1.291
Armenia,ARM,"May 15, 2020",1.269
Armenia,ARM,"May 16, 2020",1.286
Armenia,ARM,"May 17, 2020",1.284
Aruba,ABW,"Apr 23, 2020",2
Aruba,ABW,"Apr 24, 2020",2
Aruba,ABW,"Apr 25, 2020",2
Aruba,ABW,"Apr 26, 2020",2
Aruba,ABW,"Apr 27, 2020",2
Aruba,ABW,"Apr 28, 2020",2
Aruba,ABW,"Apr 29, 2020",2
Aruba,ABW,"Apr 30, 2020",2
Aruba,ABW,"May 1, 2020",2
Aruba,ABW,"May 2, 2020",2
Aruba,ABW,"May 3, 2020",2
Aruba,ABW,"May 4, 2020",2
Aruba,ABW,"May 5, 2020",2
Aruba,ABW,"May 6, 2020",2
Aruba,ABW,"May 7, 2020",1.98
Aruba,ABW,"May 8, 2020",2.97
Aruba,ABW,"May 9, 2020",2.97
Aruba,ABW,"May 10, 2020",2.97
Aruba,ABW,"May 11, 2020",2.97
Aruba,ABW,"May 12, 2020",2.97
Aruba,ABW,"May 13, 2020",2.97
Aruba,ABW,"May 14, 2020",2.97
Aruba,ABW,"May 15, 2020",2.97
Aruba,ABW,"May 16, 2020",2.97
Aruba,ABW,"May 17, 2020",2.97
Asia,,"Jan 19, 2020",1.37
Asia,,"Jan 20, 2020",1.255
Asia,,"Jan 21, 2020",1.535
Asia,,"Jan 22, 2020",3.189
Asia,,"Jan 23, 2020",2.698
Asia,,"Jan 24, 2020",2.902
Asia,,"Jan 25, 2020",3.051
Asia,,"Jan 26, 2020",2.782
Asia,,"Jan 27, 2020",2.886
Asia,,"Jan 28, 2020",2.318
Asia,,"Jan 29, 2020",2.183
Asia,,"Jan 30, 2020",2.18
Asia,,"Jan 31, 2020",2.175
Asia,,"Feb 1, 2020",2.176
Asia,,"Feb 2, 2020",2.102
Asia,,"Feb 3, 2020",2.09
Asia,,"Feb 4, 2020",2.077
Asia,,"Feb 5, 2020",2.016
Asia,,"Feb 6, 2020",2.004
Asia,,"Feb 7, 2020",2.034
Asia,,"Feb 8, 2020",2.08
Asia,,"Feb 9, 2020",2.173
Asia,,"Feb 10, 2020",2.253
Asia,,"Feb 11, 2020",2.373
Asia,,"Feb 12, 2020",2.482
Asia,,"Feb 13, 2020",2.281
Asia,,"Feb 14, 2020",2.153
Asia,,"Feb 15, 2020",2.284
Asia,,"Feb 16, 2020",2.424
Asia,,"Feb 17, 2020",2.502
Asia,,"Feb 18, 2020",2.572
Asia,,"Feb 19, 2020",2.697
Asia,,"Feb 20, 2020",2.833
Asia,,"Feb 21, 2020",2.953
Asia,,"Feb 22, 2020",3.058
Asia,,"Feb 23, 2020",3.152
Asia,,"Feb 24, 2020",3.333
Asia,,"Feb 25, 2020",3.399
Asia,,"Feb 26, 2020",3.44
Asia,,"Feb 27, 2020",3.442
Asia,,"Feb 28, 2020",3.467
Asia,,"Feb 29, 2020",3.473
Asia,,"Mar 1, 2020",3.472
Asia,,"Mar 2, 2020",3.487
Asia,,"Mar 3, 2020",3.494
Asia,,"Mar 4, 2020",3.493
Asia,,"Mar 5, 2020",3.499
Asia,,"Mar 6, 2020",3.506
Asia,,"Mar 7, 2020",3.482
Asia,,"Mar 8, 2020",3.48
Asia,,"Mar 9, 2020",3.519
Asia,,"Mar 10, 2020",3.552
Asia,,"Mar 11, 2020",3.591
Asia,,"Mar 12, 2020",3.621
Asia,,"Mar 13, 2020",3.658
Asia,,"Mar 14, 2020",3.706
Asia,,"Mar 15, 2020",3.748
Asia,,"Mar 16, 2020",3.806
Asia,,"Mar 17, 2020",3.88
Asia,,"Mar 18, 2020",3.958
Asia,,"Mar 19, 2020",4.033
Asia,,"Mar 20, 2020",4.111
Asia,,"Mar 21, 2020",4.172
Asia,,"Mar 22, 2020",4.213
Asia,,"Mar 23, 2020",4.271
Asia,,"Mar 24, 2020",4.299
Asia,,"Mar 25, 2020",4.285
Asia,,"Mar 26, 2020",4.281
Asia,,"Mar 27, 2020",4.289
Asia,,"Mar 28, 2020",4.222
Asia,,"Mar 29, 2020",4.167
Asia,,"Mar 30, 2020",4.108
Asia,,"Mar 31, 2020",4.053
Asia,,"Apr 1, 2020",4.007
Asia,,"Apr 2, 2020",3.975
Asia,,"Apr 3, 2020",3.945
Asia,,"Apr 4, 2020",3.896
Asia,,"Apr 5, 2020",3.879
Asia,,"Apr 6, 2020",3.849
Asia,,"Apr 7, 2020",3.814
Asia,,"Apr 8, 2020",3.793
Asia,,"Apr 9, 2020",3.764
Asia,,"Apr 10, 2020",3.752
Asia,,"Apr 11, 2020",3.721
Asia,,"Apr 12, 2020",3.685
Asia,,"Apr 13, 2020",3.673
Asia,,"Apr 14, 2020",3.644
Asia,,"Apr 15, 2020",3.638
Asia,,"Apr 16, 2020",3.615
Asia,,"Apr 17, 2020",3.951
Asia,,"Apr 18, 2020",3.922
Asia,,"Apr 19, 2020",3.875
Asia,,"Apr 20, 2020",3.849
Asia,,"Apr 21, 2020",3.8
Asia,,"Apr 22, 2020",3.761
Asia,,"Apr 23, 2020",3.759
Asia,,"Apr 24, 2020",3.725
Asia,,"Apr 25, 2020",3.709
Asia,,"Apr 26, 2020",3.677
Asia,,"Apr 27, 2020",3.649
Asia,,"Apr 28, 2020",3.64
Asia,,"Apr 29, 2020",3.621
Asia,,"Apr 30, 2020",3.601
Asia,,"May 1, 2020",3.579
Asia,,"May 2, 2020",3.551
Asia,,"May 3, 2020",3.541
Asia,,"May 4, 2020",3.513
Asia,,"May 5, 2020",3.502
Asia,,"May 6, 2020",3.48
Asia,,"May 7, 2020",3.448
Asia,,"May 8, 2020",3.421
Asia,,"May 9, 2020",3.387
Asia,,"May 10, 2020",3.355
Asia,,"May 11, 2020",3.316
Asia,,"May 12, 2020",3.288
Asia,,"May 13, 2020",3.254
Asia,,"May 14, 2020",3.227
Asia,,"May 15, 2020",3.195
Asia,,"May 16, 2020",3.161
Asia,,"May 17, 2020",3.124
Asia excl. China,,"Feb 2, 2020",0.926
Asia excl. China,,"Feb 3, 2020",0.909
Asia excl. China,,"Feb 4, 2020",0.885
Asia excl. China,,"Feb 5, 2020",0.735
Asia excl. China,,"Feb 6, 2020",0.676
Asia excl. China,,"Feb 7, 2020",0.625
Asia excl. China,,"Feb 8, 2020",0.571
Asia excl. China,,"Feb 9, 2020",0.538
Asia excl. China,,"Feb 10, 2020",0.518
Asia excl. China,,"Feb 11, 2020",0.505
Asia excl. China,,"Feb 12, 2020",0.498
Asia excl. China,,"Feb 13, 2020",0.957
Asia excl. China,,"Feb 14, 2020",0.913
Asia excl. China,,"Feb 15, 2020",0.837
Asia excl. China,,"Feb 16, 2020",0.769
Asia excl. China,,"Feb 17, 2020",1.095
Asia excl. China,,"Feb 18, 2020",1.071
Asia excl. China,,"Feb 19, 2020",0.98
Asia excl. China,,"Feb 20, 2020",1.37
Asia excl. China,,"Feb 21, 2020",1.325
Asia excl. China,,"Feb 22, 2020",1.333
Asia excl. China,,"Feb 23, 2020",1.336
Asia excl. China,,"Feb 24, 2020",1.541
Asia excl. China,,"Feb 25, 2020",1.732
Asia excl. China,,"Feb 26, 2020",1.732
Asia excl. China,,"Feb 27, 2020",1.621
Asia excl. China,,"Feb 28, 2020",1.565
Asia excl. China,,"Feb 29, 2020",1.407
Asia excl. China,,"Mar 1, 2020",1.435
Asia excl. China,,"Mar 2, 2020",1.45
Asia excl. China,,"Mar 3, 2020",1.47
Asia excl. China,,"Mar 4, 2020",1.404
Asia excl. China,,"Mar 5, 2020",1.426
Asia excl. China,,"Mar 6, 2020",1.492
Asia excl. China,,"Mar 7, 2020",1.422
Asia excl. China,,"Mar 8, 2020",1.454
Asia excl. China,,"Mar 9, 2020",1.707
Asia excl. China,,"Mar 10, 2020",1.91
Asia excl. China,,"Mar 11, 2020",2.132
Asia excl. China,,"Mar 12, 2020",2.356
Asia excl. China,,"Mar 13, 2020",2.596
Asia excl. China,,"Mar 14, 2020",2.839
Asia excl. China,,"Mar 15, 2020",3.053
Asia excl. China,,"Mar 16, 2020",3.297
Asia excl. China,,"Mar 17, 2020",3.594
Asia excl. China,,"Mar 18, 2020",3.853
Asia excl. China,,"Mar 19, 2020",4.104
Asia excl. China,,"Mar 20, 2020",4.364
Asia excl. China,,"Mar 21, 2020",4.535
Asia excl. China,,"Mar 22, 2020",4.626
Asia excl. China,,"Mar 23, 2020",4.763
Asia excl. China,,"Mar 24, 2020",4.797
Asia excl. China,,"Mar 25, 2020",4.717
Asia excl. China,,"Mar 26, 2020",4.669
Asia excl. China,,"Mar 27, 2020",4.65
Asia excl. China,,"Mar 28, 2020",4.465
Asia excl. China,,"Mar 29, 2020",4.324
Asia excl. China,,"Mar 30, 2020",4.193
Asia excl. China,,"Mar 31, 2020",4.08
Asia excl. China,,"Apr 1, 2020",3.994
Asia excl. China,,"Apr 2, 2020",3.936
Asia excl. China,,"Apr 3, 2020",3.881
Asia excl. China,,"Apr 4, 2020",3.8
Asia excl. China,,"Apr 5, 2020",3.781
Asia excl. China,,"Apr 6, 2020",3.74
Asia excl. China,,"Apr 7, 2020",3.694
Asia excl. China,,"Apr 8, 2020",3.67
Asia excl. China,,"Apr 9, 2020",3.634
Asia excl. China,,"Apr 10, 2020",3.625
Asia excl. China,,"Apr 11, 2020",3.587
Asia excl. China,,"Apr 12, 2020",3.548
Asia excl. China,,"Apr 13, 2020",3.539
Asia excl. China,,"Apr 14, 2020",3.508
Asia excl. China,,"Apr 15, 2020",3.506
Asia excl. China,,"Apr 16, 2020",3.482
Asia excl. China,,"Apr 17, 2020",3.445
Asia excl. China,,"Apr 18, 2020",3.429
